title,year,image,clue,description,photographer,copyright
Starving Child And Vulture,1993,media/photo1.jpg,"Taken during a famine in Sudan caused by drought, war, and government policies, the photo ""Starving Child and Vulture"" led to the photographer Kevin Carter's suicide in the mid-90s.","Kevin Carter knew death all too well. As a member of the Bang-Bang Club, a fearless group of photographers documenting apartheid-era South Africa, he had seen more than his fair share of tragedy. But in 1993, he traveled to Sudan to capture the horrors of the famine ravaging the land.

After a grueling day of taking pictures in the village of Ayod, Carter ventured into the bush and stumbled upon a heartbreaking scene. A frail and starving toddler had collapsed on the way to a feeding center, and as he took the child's photo, a vulture landed nearby.

Carter was warned not to touch the victims due to the risk of disease, so instead, he waited for 20 minutes in the hopes that the bird would spread its wings. When it didn't, he scared it off and watched as the child made their way to the center. He then lit a cigarette, prayed, and wept.

The New York Times published the photo, sparking a heated debate over whether photographers should intervene in such situations. Readers were desperate to know the fate of the child, and many criticized Carter for not doing more to help. Later research suggested that the child survived but died 14 years later from malaria.

Carter won a Pulitzer Prize for his photo, but the darkness of that fateful day never left him. In July 1994, he tragically took his own life, haunted by the memories of the pain, anger, and death that he had witnessed throughout his career.",Kevin Carter,
Lunch Atop A Skyscraper,1932,media/photo2.jpg,"Taken during the Great Depression, ""Lunch Atop a Skyscraper"" shows construction workers having lunch on a steel beam high above New York City streets during the building of Rockefeller Center.","The scene is both carefree and treacherous: 11 men, enjoying lunch, smoking, and chatting as if they weren't hovering 840 feet above Manhattan on a narrow beam. But make no mistake, these men are the ironworkers who helped construct the mighty Rockefeller Center.

The iconic photo, taken on the 69th floor of what is now the GE Building, was staged as part of a promotional campaign for the colossal skyscraper complex. The photographer's identity remains a mystery to this day, with Charles C. Ebbets, Thomas Kelley, and William Leftwich all present on the day of the shoot.

For New York's ironworkers, the photo is a badge of honor, a symbol of their intrepid tribe. But Lunch Atop a Skyscraper means so much more than that. It embodies American resilience and ambition, a fearless spirit that was desperately needed during the Great Depression.

For New Yorkers, the photo is a powerful reminder that their city is a place that tackles monumental projects without hesitation. And like all great symbols, Lunch Atop a Skyscraper has spawned its own economy. It is the most reproduced image of the Corbis photo agency, and it's impossible to walk through Times Square without seeing it plastered on a mug, magnet, or T-shirt.

In a city built on hustle and grit, Lunch Atop a Skyscraper remains a timeless tribute to the brave souls who built New York from the ground up.",Unknown,
The Terror Of War,1972,media/photo3.jpg,"The photo ""The Terror of War"" was taken during a conflict in Southeast Asia, in which the United States played a major role. This conflict lasted for over a decade, with some of the most intense fighting taking place after the second half of the 20st century.","In June 1972, Nick Ut, an Associated Press photographer, found himself outside the village of Trang Bang, just northwest of Saigon. It was there that he witnessed the devastating impact of collateral damage and friendly fire firsthand. But this was no ordinary incident - it was captured by Ut's lens, and the image he captured would go on to become one of the defining symbols of the Vietnam War.

As Ut snapped photos of the destruction, he saw something that he would never forget - a group of children and soldiers, along with a screaming, naked girl running towards him. In that moment, Ut knew he had to act fast. He poured water on the girl's body to soothe her burns, and then took her to a hospital. There, he learned that the girl, Phan Thi Kim Phuc, might not survive. With the help of his colleagues, Ut got Kim Phuc transferred to an American facility for treatment that ultimately saved her life.

Ut's photo of Kim Phuc's raw pain and suffering became an unforgettable reminder of the horrors of war. It highlighted the fact that the conflict was causing more harm than good, and it sparked a fierce debate in newsrooms around the world about whether or not to publish a photo that showed nudity. But despite the controversy, the image quickly became a cultural touchstone, standing alongside other iconic photographs like Malcolm Browne's Burning Monk and Eddie Adams' Saigon Execution.

When President Richard Nixon questioned the authenticity of the photo, Ut was quick to set the record straight, saying, ""The horror of the Vietnam War recorded by me did not have to be fixed."" And in 1973, the Pulitzer committee agreed, awarding Ut its prize. That same year, America's involvement in the war ended, but Ut's photo continues to serve as a powerful reminder of the devastating human cost of conflict.",Nick Ut,Public domain 
The Burning Monk,1963,media/photo4.jpg,"The Burning Monk"" was photographed during a turbulent time in the history of Vietnam, when political and religious tensions were high. This decade saw the rise of the Buddhist Crisis, which culminated in a series of protests against the South Vietnamese government and its discriminatory policies towards Buddhists.","Vietnam - a far-off land that most Americans had never heard of. But that all changed when Malcolm Browne, an Associated Press photographer, captured a searing image that would burn itself into the world's memory. The image was of Thich Quang Duc, a Buddhist monk who set himself alight on a bustling Saigon street, in protest against the oppressive regime of President Ngo Dinh Diem.

Browne had received advance warning of the impending act of self-immolation, and he was there to witness it all. He watched as two monks poured gasoline over the elderly man, and then, with a sense of horror and urgency, he began snapping photos, one after another.

The resulting image of the monk, seated calmly in a lotus position, as he burned alive, became the first iconic image of a conflict that would soon draw America in. Quang Duc's martyrdom became a symbol of the instability and unrest that plagued his nation, and it forced people to question America's support of Diem's regime.

As President Kennedy later remarked, ""No news picture in history has generated so much emotion around the world as that one."" Browne's photo was a game-changer, leading to the Administration's decision not to interfere with a coup that November. Its raw power moved people to action, and in doing so, it helped to shape the course of history.",Malcolm Browne,
Tank Man,1989,media/photo5.jpg,"During political unrest in China, ""Tank Man"" captured a historic protest in Beijing's Tiananmen Square for political freedoms and democratic reforms, met with violent government crackdowns causing tragic loss of life and international condemnation.","On the morning of June 5, 1989, photographer Jeff Widener found himself on a sixth-floor balcony of the Beijing Hotel, overlooking Tiananmen Square. The day before, Chinese troops had launched a brutal crackdown on pro-democracy demonstrators, and Widener was there to capture the aftermath.

As he took pictures of the carnage below, a column of tanks rumbled out of the square. Then, a remarkable thing happened. A man with shopping bags in hand stepped in front of the massive machines, waving his arms and refusing to move. The tanks tried to go around him, but he stepped back into their path, even climbing atop one briefly. Widener thought the man would be killed, but the tanks held their fire. The man was eventually whisked away, but not before Widener immortalized his defiant act.

Others also captured the scene, but it was Widener's image that would become iconic. His photo was transmitted over the AP wire and appeared on front pages around the world. Decades later, the identity of the man in the photo remains a mystery, adding to its power as a symbol of resistance against unjust regimes everywhere. Tank Man has become a global hero, his brave stand a reminder that even in the face of overwhelming force, the human spirit cannot be defeated.",Jeff Widener,
Falling Man,2001,media/photo6.jpg,"Falling Man"" was taken after the 9/11 attacks in New York City, which caused almost 3,000 deaths and had significant global impact, leading to increased security measures and changes in air travel regulations to combat terrorism.","When we think of 9/11, we think of planes and towers, but there's one image that stands apart: Falling Man. Richard Drew's photograph captures one man's escape from the collapsing buildings, a solitary figure against the backdrop of impersonal skyscrapers.

In a day of mass tragedy, Falling Man is one of the few widely seen photos that shows someone dying. The picture appeared in newspapers across America in the days after the attacks, but the reaction from readers was swift and harsh, forcing it into temporary obscurity. It's a challenging image to process, with the man dividing the iconic towers as he plummets earthward like an arrow.

The identity of the Falling Man remains a mystery, but he is thought to have worked at the Windows on the World restaurant, which was situated atop the north tower. Yet, it's not who the subject was that gives Falling Man its power, but rather what he represents: an anonymous soldier in an often-hidden and uncertain war, suspended in time for all eternity. Falling Man reminds us that in the midst of chaos and tragedy, individuals continue to stand out, even as they fall.",Richard Drew,
Alan Kurdi,2015,media/photo7.jpg,"The photo of Alan Kurdi drew international attention to the European migrant crisis, caused by the conflict in Syria that displaced millions of people, leading to many risking their lives on the dangerous journey across the Mediterranean Sea in search of safety and a better life, and sparked a debate for greater support and protection for refugees.","After four years of brutal conflict in Syria, Alan Kurdi’s parents made the fateful decision to escape with their two young sons, setting off from the Turkish coast in an inflatable boat headed for the Greek island of Kos, just a few miles away. But within minutes of launching, a wave overturned the vessel, and Alan, his brother, and their mother drowned.

Hours later, Nilufer Demir of the Dogan News Agency found Alan’s lifeless body washed up on the shore near Bodrum. His face was turned to one side, his bottom elevated as if he were asleep. “There was nothing left to do for him. There was nothing left to bring him back to life,” Demir said. So she raised her camera.

“I thought, This is the only way I can express the scream of his silent body,” Demir recalled. The resulting image would become the defining photograph of an ongoing war that had claimed over 220,000 lives by the time she pressed the shutter. The picture was not taken in Syria, a country that the world had largely ignored, but on the doorstep of Europe, where refugees were arriving in droves.

The child lay dressed for travel, suspended between two worlds: the waves had washed away any traces of the dusty, brown landscape that might have located him in a foreign place. It was an experience that the Kurdi family had sought for themselves, joining a migration fueled by both desperation and aspiration.

Already having escaped bloodshed by crossing the border to Turkey, the family had embarked on a perilous sea journey in search of a better life. And although their journey had ended in tragedy, their story would resonate with people around the world.

Demir’s image quickly spread across social media, accumulating power with each share. News organizations were compelled to publish it – or to publicly defend their decision not to. And European governments were suddenly forced to open their borders, with trainloads of Syrians arriving in Germany to cheers within a week of the photo's release.

In an instant, the picture of one small, still form unlocked emotions that had lain dormant throughout the war, prompting a global outpouring of grief and forcing people to confront the human cost of the conflict.",Nilüfer Demir,
Earthrise,1968,media/photo8.jpg,"The photo ""Earthrise"" was taken during the Apollo 8 mission, which was the first crewed spacecraft to orbit the Moon. The mission was launched during a turbulent time in American history marked by social and political upheaval, including the Vietnam War and the Civil Rights Movement.","Pinpointing the exact moment that history takes a turn is no easy feat. But when it comes to humanity's realization of the fragility, beauty, and loneliness of our world, we know the exact instant. It was December 24, 1968, precisely 75 hours, 48 minutes, and 41 seconds after the Apollo 8 spacecraft took off from Cape Canaveral on its way to becoming the first manned mission to orbit the moon.

On that Christmas Eve, astronauts Frank Borman, Jim Lovell, and Bill Anders had entered lunar orbit after a year of war and violence in America. During the fourth orbit, as their spacecraft emerged from the far side of the moon, a breathtaking view of the blue-white planet filled one of the hatch windows.

""Wow, is that pretty!"" Anders exclaimed, snapping a black-and-white photo. Lovell searched for a color canister. ""Well, I think we missed it,"" Anders said. But Lovell persisted and found the color canister. ""Hey, I got it right here!"" he exclaimed.

Weightless Anders rushed over to where Lovell was floating and snapped his Hasselblad camera. ""You got it?"" Lovell asked. ""Yep,"" Anders answered. That image, our first full-color view of our planet from outside it, helped ignite the environmental movement. And, equally important, it helped humans recognize that despite the cold and punishing cosmos, we have it pretty good.",William Anders,
Mushroom Cloud Over Nagasaki,1945,media/photo9.jpg,"""Mushroom Cloud Over Nagasaki"" was taken in Japan during World War II, after the US dropped an atomic bomb on the city. The bombing occurred on the final months of the war, and was a major turning point in world history, leading to the end of the war and the beginning of the nuclear age.","In August 1945, the United States dropped an atomic bomb, Fat Man, on Nagasaki, Japan, just three days after a similar bomb, Little Boy, was detonated in Hiroshima. Lieutenant Charles Levy, the bombardier, witnessed the catastrophic event and captured its magnitude in a series of 16 photographs. One of those photographs, showing the mushroom cloud rising up to 45,000 feet, became a symbol of the bomb's destructive power and was widely circulated.

Despite censorship of the bomb's devastation, Levy's image, the only one to fully capture the mushroom cloud from the air, shaped American opinion in favor of the nuclear bomb. The bombings ultimately forced Japan's unconditional surrender in World War II and ushered in the atomic age. The photograph's impact proved, once again, that history is written by the victors.",Lieutenant Charles Levy,
V-J Day In Times Square,1945,media/photo10.jpg,"V-J Day in Times Square"" was taken in New York City at the end of war when Japan announced its surrender to the Allied Powers, bringing a sense of joy and relief to a nation that had been at war for several years.","Photography captures life’s fleeting moments, and for Alfred Eisenstaedt, one of LIFE magazine’s first photographers, his mission was to seize the storytelling moment. He didn’t have to look far for it when World War II came to an end on August 14, 1945. Taking in the jubilant atmosphere of New York City’s streets, Eisenstaedt found himself in the midst of the joyous commotion at Times Square.

As he searched for subjects, a sailor in front of him grabbed hold of a nurse, tilted her back, and kissed her. Eisenstaedt’s photograph of that passionate embrace distilled the relief and promise of that momentous day in a single frame of pure, unbridled joy (though some argue it should be viewed as sexual assault).

His exquisite image has become the most famous and reproduced photograph of the 20th century, embodying our collective memory of that transformative moment in world history. As Eisenstaedt once said, “People tell me that when I’m in heaven, they will remember this picture.”",Alfred Eisenstaedt,
Pillars Of Creation,1995,media/photo11.jpg,"""Pillars Of Creation"" was taken during a time when the Hubble Telescope was making groundbreaking observations and discoveries about our universe. ","The universe is a marvel to behold, but for most of us, it remains a distant abstraction. That is until the Hubble Space Telescope arrived in orbit. The story of Hubble is one of overruns, delays and failures, but its first breathtaking image in 1995, nicknamed the Pillars of Creation, made it all worth it.

The Pillars of Creation is a stunning portrait of the Eagle Nebula, a celestial region 6,500 light-years away, where stars are born. The image reveals colossal columns of interstellar gas and dust, sculpted by the winds of massive stars. These pillars of cosmic architecture are a true marvel of the universe, stretching 5 light-years long, equivalent to 30 trillion miles.

But the Pillars of Creation is not just a scientific discovery; it's also an emotional one. The image has a profound effect on our sense of wonder and awe, revealing the beauty and vastness of the cosmos. It reminds us that we are but a small part of a vast and mysterious universe, and in that realization, there is both humility and wonder.",NASA,
Fire Escape Collapse,1975,media/photo12.jpg,"""Fire Escape Collapse"" was taken during a period of significant urban decay and neglect in the  Boston, Massachusetts, United States. The photo brought attention to the need for better building codes and safety regulations to protect residents of urban areas.","On July 22, 1975, Stanley Forman was on the scene of a fire at Marlborough Street, working as a photographer for the Boston Herald American. Upon arriving, Forman saw a woman and a child on a fifth-floor fire escape, and he thought he was photographing another routine rescue. Suddenly, the fire escape collapsed, and Diana Bryant, 19, and her goddaughter Tiare Jones, 2, fell through the air. Forman photographed the tragic event as it unfolded, capturing the exact moment the pair were falling.

“I was shooting pictures as they were falling—then I turned away. It dawned on me what was happening, and I didn’t want to see them hit the ground. I can still remember turning around and shaking,” Forman later recalled. Bryant died from the fall, but her body cushioned the blow for her goddaughter, who survived.

Forman's photograph, taken with a motor-drive camera, shows the despairing expression on young Tiare's face during the dreadful moment. The photograph went on to earn Forman the Pulitzer Prize and brought about tougher fire-escape-safety codes around the country. However, the photograph's lasting impact was not just temporal but ethical as well. Many readers criticized the publication of Forman's image, and it remains a case study in the debate over when disturbing images are worth sharing.",Stanley Forman,
A Man On The Moon,1969,media/photo13.jpg,"""A Man on the Moon"" was taken during the Apollo 11 mission to the moon. ","The Sea of Tranquility, on the moon's ancient surface, is home to a small depression where Buzz Aldrin stood on July 20, 1969, in the evening. Although billions of pits and craters can be found on the lunar surface, it may not be Aldrin's most memorable moment.

Aldrin was disappointed in being the second man to step on the moon, missing out on the historic ""first-man"" designation earned by Neil Armstrong by a matter of inches and minutes. However, Aldrin achieved a different type of immortality.

Since Armstrong carried the crew's 70-millimeter Hasselblad, he took all of the pictures, which meant that the only moon man people on Earth would see clearly was the one who took the second steps.

It was unlikely that this image would endure the way it has. It lacks the action of the shots of Aldrin descending the ladder of the lunar module, and it has none of the patriotic significance of his saluting the American flag.

Aldrin stands still, a small, vulnerable man on a distant world where removing even a single article of clothing would result in death. His arm is awkwardly bent, possibly because he was checking the checklist on his wrist.

Armstrong, appearing even smaller and more spectral, is reflected in Aldrin's visor. This picture, in some ways, did everything wrong if it aimed to be heroic. However, as a result, it did everything right.",Neil Armstrong,
"Albino Boy, Biafra",1969,media/photo14.jpg,"""Albino Boy, Biafra"" was taken during the Nigerian Civil War, in which The Nigerian government imposed a blockade on Biafra, which led to severe food shortages and malnutrition, particularly among children.","Biafra, the short-lived breakaway state in West Africa that seceded from southern Nigeria in 1967, may have been forgotten by many, but the images of the mass starvation and disease that followed remain seared in our collective memory. No photo, however, captured the human tragedy of that brief war as powerfully as British war photographer Don McCullin’s image of a 9-year-old albino child.

“To be a starving Biafran orphan was to be in a most pitiable situation, but to be a starving albino Biafran was to be in a position beyond description,” McCullin wrote. “Dying of starvation, he was still among his peers an object of ostracism, ridicule and insult.”

The photograph was a turning point in the conflict, galvanizing public opinion and leading to massive airlifts of food, medicine and weapons. McCullin’s hope was that such stark images would be able to “break the hearts and spirits of secure people,” and they did.

Although the world’s attention eventually shifted, McCullin’s work left a lasting impact. His photographs, along with those of other witnesses of the conflict, inspired the launch of Doctors Without Borders, the humanitarian organization that delivers emergency medical support to those suffering from war, epidemics and disasters.",Don Mccullin,
